seed,lambda,qtd_treino,qtd_treino_real,qtd_treino_sintetico,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,menores20_accuracy,menores20_balanced_accuracy,menores20_f1_macro,menores20_f1_weighted,menores20_precision_macro,menores20_recall_macro,maiores20_accuracy,maiores20_balanced_accuracy,maiores20_f1_macro,maiores20_f1_weighted,maiores20_precision_macro,maiores20_recall_macro,interesse_accuracy,interesse_balanced_accuracy,interesse_f1_macro,interesse_f1_weighted,interesse_precision_macro,interesse_recall_macro
4380,0.00000000,11981,11981,0,0.82156992,0.83973460,0.80792632,0.82201111,0.83784007,0.83973460,0.58333333,0.69880952,0.46374972,0.63694482,0.53125000,0.43675595,0.88529089,0.92600093,0.58740174,0.89635029,0.59872181,0.61733395,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.01000000,11923,11923,0,0.82222955,0.84047699,0.80828871,0.82281002,0.83800667,0.84047699,0.58333333,0.69880952,0.46374972,0.63694482,0.53125000,0.43675595,0.88583974,0.92626820,0.58754445,0.89708920,0.59909218,0.61751213,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.02000000,11863,11863,0,0.82124011,0.84031783,0.80802210,0.82170988,0.83749581,0.84031783,0.58333333,0.69880952,0.46374972,0.63694482,0.53125000,0.43675595,0.88419319,0.92549627,0.58690109,0.89539838,0.59827104,0.61699751,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.03000000,11802,11802,0,0.82058047,0.84021209,0.80903315,0.82066767,0.83934535,0.84021209,0.58333333,0.69880952,0.47870939,0.63694482,0.54838710,0.45084485,0.88309550,0.92498345,0.56736126,0.89387052,0.57866173,0.59676351,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.04000000,11740,11740,0,0.82156992,0.84032293,0.80936152,0.82194025,0.83980753,0.84032293,0.58333333,0.69880952,0.47870939,0.63694482,0.54838710,0.45084485,0.88474204,0.92552104,0.56809455,0.89576660,0.57904516,0.59711035,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.05000000,11680,11680,0,0.82222955,0.84070966,0.80848625,0.82271564,0.83785749,0.84070966,0.58333333,0.69880952,0.46374972,0.63694482,0.53125000,0.43675595,0.88529089,0.92600778,0.58724270,0.89649679,0.59871284,0.61733852,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.06000000,11621,11621,0,0.82156992,0.83971986,0.80911947,0.82202021,0.84016689,0.83971986,0.58333333,0.69880952,0.47870939,0.63694482,0.54838710,0.45084485,0.88474204,0.92575268,0.58708378,0.89598496,0.59831091,0.61716845,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.07000000,11558,11558,0,0.82156992,0.84093155,0.80863192,0.82218504,0.83756129,0.84093155,0.58333333,0.69880952,0.46374972,0.63694482,0.53125000,0.43675595,0.88309550,0.92498075,0.58632384,0.89409094,0.59725699,0.61665383,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.08000000,11499,11499,0,0.82189974,0.84098442,0.80850952,0.82268899,0.83724149,0.84098442,0.58333333,0.69880952,0.46374972,0.63694482,0.53125000,0.43675595,0.88364435,0.92523716,0.56782171,0.89521616,0.57852009,0.59692720,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.09000000,11439,11439,0,0.82156992,0.84093182,0.80878054,0.82232856,0.83779822,0.84093182,0.58333333,0.69880952,0.46374972,0.63694482,0.53125000,0.43675595,0.88309550,0.92498206,0.58637326,0.89442854,0.59722035,0.61665471,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
